id	character	modern_form	semantic_field	phonetic_root	tone	essence	examples	category			
V27	ောက်	အောက်	ROUNDED_VELAR_STOP	ROUNDED_VELAR_STOP	stopped	ဝိုင်းဝန်းအာခေါင်နောက်ရပ်တန့်ခြင်း	ခေါက်	ခြောက်	ပေါက်		ဝိုင်းဝန်းသရ
V28	င်	အင်	VELAR_NASAL_RESONANCE	VELAR_NASAL	level	အာခေါင်နောက်နှာခေါင်းသံပဲ့တင်ခြင်း	ကင်	ခင်	ပြင်	မြင်	နှာခေါင်းသံသရ
V29	င့်	အင့်	VELAR_NASAL_EMPHASIS	EMPHATIC_VELAR_NASAL	creaky	အားဖြင့်အာခေါင်နောက်နှာခေါင်းသံ	ကင့်	ခင့်	ပင့်	မြင့်	နှာခေါင်းသံသရ
V30	င်း	အင်း	VELAR_NASAL_EXTENSION	TERMINAL_VELAR_NASAL	heavy	အဆုံးသတ်အာခေါင်နောက်နှာခေါင်းသံ	ကင်း	ခင်း	ပင်း	မင်း	နှာခေါင်းသံသရ
V31	ိုင်	အိုင်	CONTRACTED_VELAR_NASAL	CONTRACTED_VELAR_NASAL	level	စုစည်းအာခေါင်နောက်နှာခေါင်းသံ	ချိုင်	ငိုင်	ပိုင်	မိုင်	နှာခေါင်းသံသရ
V32	ိုင့်	အိုင့်	CONTRACTED_VELAR_NASAL_EMPHASIS	EMPHATIC_CONTRACTED_VELAR_NASAL	creaky	အားဖြင့်စုစည်းအာခေါင်နောက်နှာခေါင်းသံ	ချိုင့်	ငိုင့်	ပိုင့်	မိုင့်	နှာခေါင်းသံသရ
V33	ိုင်း	အိုင်း	CONTRACTED_VELAR_NASAL_EXTENSION	TERMINAL_CONTRACTED_VELAR_NASAL	heavy	အဆုံးသတ်စုစည်းအာခေါင်နောက်နှာခေါင်းသံ	ချိုင်း	ငိုင်း	ပိုင်း	မိုင်း	နှာခေါင်းသံသရ
V34	ောင်	အောင်	ROUNDED_VELAR_NASAL	ROUNDED_VELAR_NASAL	level	ဝိုင်းဝန်းအာခေါင်နောက်နှာခေါင်းသံ	ခေါင်	ခြောင်	ပေါင်	မောင်	နှာခေါင်းသံသရ
V35	ောင့်	အောင့်	ROUNDED_VELAR_NASAL_EMPHASIS	EMPHATIC_ROUNDED_VELAR_NASAL	creaky	အားဖြင့်ဝိုင်းဝန်းအာခေါင်နောက်နှာခေါင်းသံ	ခေါင့်	ခြောင့်	ပေါင့်	မောင့်	နှာခေါင်းသံသရ
V36	ောင်း	အောင်း	ROUNDED_VELAR_NASAL_EXTENSION	TERMINAL_ROUNDED_VELAR_NASAL	heavy	အဆုံးသတ်ဝိုင်းဝန်းအာခေါင်နောက်နှာခေါင်းသံ	ခေါင်း	ခြောင်း	ပေါင်း	မောင်း	နှာခေါင်းသံသရ
V37	စ်	အစ်	DENTAL_STOPPED_ACTION	DENTAL_STOP	stopped	သွားသံဖြင့် ရပ်တန့်ခြင်း	ခစ်	ငစ်	ပစ်	မစ်	သွားသံသရ
V38	ည်	အည်	PALATAL_NASAL_STOP	PALATAL_NASAL_STOP	stopped	အာခေါင်နှာခေါင်းသံဖြင့် ရပ်တန့်ခြင်း	ခည်	ပည်			သွားသံသရ
V39	ဉ်	အဉ်	PALATAL_NASAL_EXTENDED_STOP	EXTENDED_PALATAL_NASAL_STOP	stopped	ဆန့်ကျယ်အာခေါင်နှာခေါင်းသံရပ်တန့်ခြင်း	ခဉ်	ပဉ်			သွားသံသရ
V40	ဉ့်	အဉ့်	PALATAL_NASAL_EMPHATIC_STOP	EMPHATIC_PALATAL_NASAL_STOP	creaky	အားဖြင့်အာခေါင်နှာခေါင်းသံရပ်တန့်ခြင်း	ခဉ့်	ပဉ့်			သွားသံသရ
V41	တ်	အတ်	DENTAL_PLOSIVE_STOP	DENTAL_PLOSIVE_STOP	stopped	သွားသံပေါက်ကွဲရပ်တန့်ခြင်း	ခတ်	ပတ်	မှတ်		သွားသံသရ
V42	တ့်	အတ့်	DENTAL_PLOSIVE_EMPHATIC_STOP	EMPHATIC_DENTAL_PLOSIVE_STOP	creaky	အားဖြင့်သွားသံပေါက်ကွဲရပ်တန့်ခြင်း	ခတ့်	ပတ့်			သွားသံသရ
V43	တ်း	အတ်း	DENTAL_PLOSIVE_TERMINAL_STOP	TERMINAL_DENTAL_PLOSIVE_STOP	heavy	အဆုံးသတ်သွားသံပေါက်ကွဲရပ်တန့်ခြင်း	ခတ်း	ပတ်း			သွားသံသရ
V44	န်	အန်	ALVEOLAR_NASAL_RESONANCE	ALVEOLAR_NASAL	level	သွားဖုံးနှာခေါင်းသံပဲ့တင်ခြင်း	ခန်	ပန်	မန်		နှာခေါင်းသံဆက်
V45	န့်	အန့်	ALVEOLAR_NASAL_EMPHASIS	EMPHATIC_ALVEOLAR_NASAL	creaky	အားဖြင့်သွားဖုံးနှာခေါင်းသံ	ခန့်	ပန့်	မန့်		နှာခေါင်းသံဆက်
V46	န်း	အန်း	ALVEOLAR_NASAL_EXTENSION	TERMINAL_ALVEOLAR_NASAL	heavy	အဆုံးသတ်သွားဖုံးနှာခေါင်းသံ	ခန်း	ပန်း	မန်း		နှာခေါင်းသံဆက်
V47	ိန်	အိန်	CONTRACTED_ALVEOLAR_NASAL	CONTRACTED_ALVEOLAR_NASAL	level	စုစည်းသွားဖုံးနှာခေါင်းသံ	ချိန်	ပျိန်			နှာခေါင်းသံဆက်
V48	ိန့်	အိန့်	CONTRACTED_ALVEOLAR_NASAL_EMPHASIS	EMPHATIC_CONTRACTED_ALVEOLAR_NASAL	creaky	အားဖြင့်စုစည်းသွားဖုံးနှာခေါင်းသံ	ချိန့်	ပျိန့်			နှာခေါင်းသံဆက်
V49	ိန်း	အိန်း	CONTRACTED_ALVEOLAR_NASAL_EXTENSION	TERMINAL_CONTRACTED_ALVEOLAR_NASAL	heavy	အဆုံးသတ်စုစည်းသွားဖုံးနှာခေါင်းသံ	ချိန်း	ပျိန်း			နှာခေါင်းသံဆက်
V50	ုန်	အုန်	ROUNDED_ALVEOLAR_NASAL	ROUNDED_ALVEOLAR_NASAL	level	ဝိုင်းဝန်းသွားဖုံးနှာခေါင်းသံ	ခုန်	ပြုန်			နှာခေါင်းသံဆက်
V51	ုန့်	အုန့်	ROUNDED_ALVEOLAR_NASAL_EMPHASIS	EMPHATIC_ROUNDED_ALVEOLAR_NASAL	creaky	အားဖြင့်ဝိုင်းဝန်းသွားဖုံးနှာခေါင်းသံ	ခုန့်	ပြုန့်			နှာခေါင်းသံဆက်
V52	ုန်း	အုန်း	ROUNDED_ALVEOLAR_NASAL_EXTENSION	TERMINAL_ROUNDED_ALVEOLAR_NASAL	heavy	အဆုံးသတ်ဝိုင်းဝန်းသွားဖုံးနှာခေါင်းသံ	ခုန်း	ပြုန်း			နှာခေါင်းသံဆက်
V53	ပ်	အပ်	LABIAL_STOPPED_ACTION	LABIAL_STOP	stopped	နှုတ်ခမ်းသံဖြင့် ရပ်တန့်ခြင်း	ခပ်	ပြပ်	မှပ်		နှုတ်ခမ်းသံသရ
V54	ပ့်	အပ့်	LABIAL_EMPHATIC_STOP	EMPHATIC_LABIAL_STOP	creaky	အားဖြင့်နှုတ်ခမ်းသံရပ်တန့်ခြင်း	ခပ့်	ပြပ့်			နှုတ်ခမ်းသံသရ
V55	ပ်း	အပ်း	LABIAL_TERMINAL_STOP	TERMINAL_LABIAL_STOP	heavy	အဆုံးသတ်နှုတ်ခမ်းသံရပ်တန့်ခြင်း	ခပ်း	ပြပ်း			နှုတ်ခမ်းသံသရ
V56	ံ	အံ	OPEN_NASAL_RESONANCE	OPEN_NASAL	level	ဖွင့်ထားသော နှာခေါင်းသံပဲ့တင်ခြင်း	ခံ	ပံ	မံ		နှုတ်ခမ်းသံသရ
V57	ံ့	အံ့	OPEN_NASAL_EMPHASIS	EMPHATIC_OPEN_NASAL	creaky	အားဖြင့်ဖွင့်ထားသော နှာခေါင်းသံ	ခံ့	ပံ့	မံ့		နှုတ်ခမ်းသံသရ
V58	ံး	အံး	OPEN_NASAL_EXTENSION	TERMINAL_OPEN_NASAL	heavy	အဆုံးသတ်ဖွင့်ထားသော နှာခေါင်းသံ	ခံး	ပံး	မံး		နှုတ်ခမ်းသံသရ
V59	မ်	အမ်	BILABIAL_NASAL_RESONANCE	BILABIAL_NASAL	level	နှုတ်ခမ်းနှာခေါင်းသံပဲ့တင်ခြင်း	ခမ်	ပမ်	မမ်		နှုတ်ခမ်းသံသရ
V60	မ့်	အမ့်	BILABIAL_NASAL_EMPHASIS	EMPHATIC_BILABIAL_NASAL	creaky	အားဖြင့်နှုတ်ခမ်းနှာခေါင်းသံ	ခမ့်	ပမ့်	မမ့်		နှုတ်ခမ်းသံသရ
V61	မ်း	အမ်း	BILABIAL_NASAL_EXTENSION	TERMINAL_BILABIAL_NASAL	heavy	အဆုံးသတ်နှုတ်ခမ်းနှာခေါင်းသံ	ခမ်း	ပမ်း	မမ်း		နှုတ်ခမ်းသံသရ
V62	ိမ်	အိမ်	CONTRACTED_BILABIAL_NASAL	CONTRACTED_BILABIAL_NASAL	level	စုစည်းနှုတ်ခမ်းနှာခေါင်းသံ	ချိမ်	ပျိမ်			ရှုပ်ထွေးသရ
V63	ိမ့်	အိမ့်	CONTRACTED_BILABIAL_NASAL_EMPHASIS	EMPHATIC_CONTRACTED_BILABIAL_NASAL	creaky	အားဖြင့်စုစည်းနှုတ်ခမ်းနှာခေါင်းသံ	ချိမ့်	ပျိမ့်			ရှုပ်ထွေးသရ
V64	ိမ်း	အိမ်း	CONTRACTED_BILABIAL_NASAL_EXTENSION	TERMINAL_CONTRACTED_BILABIAL_NASAL	heavy	အဆုံးသတ်စုစည်းနှုတ်ခမ်းနှာခေါင်းသံ	ချိမ်း	ပျိမ်း			ရှုပ်ထွေးသရ
V65	ုမ်	အုမ်	ROUNDED_BILABIAL_NASAL	ROUNDED_BILABIAL_NASAL	level	ဝိုင်းဝန်းနှုတ်ခမ်းနှာခေါင်းသံ	ခူမ်	ပြုမ်			ရှုပ်ထွေးသရ
V66	ုမ့်	အုမ့်	ROUNDED_BILABIAL_NASAL_EMPHASIS	EMPHATIC_ROUNDED_BILABIAL_NASAL	creaky	အားဖြင့်ဝိုင်းဝန်းနှုတ်ခမ်းနှာခေါင်းသံ	ခူမ့်	ပြုမ့်			ရှုပ်ထွေးသရ
V67	ုမ်း	အုမ်း	ROUNDED_BILABIAL_NASAL_EXTENSION	TERMINAL_ROUNDED_BILABIAL_NASAL	heavy	အဆုံးသတ်ဝိုင်းဝန်းနှုတ်ခမ်းနှာခေါင်းသံ	ခူမ်း	ပြုမ်း			ရှုပ်ထွေးသရ
V68	ေမ်	အေမ်	ILLUMINATED_BILABIAL_NASAL	ILLUMINATED_BILABIAL_NASAL	level	အလင်းသဘောပါ နှုတ်ခမ်းနှာခေါင်းသံ	ချေမ်	ပေမ်			ရှုပ်ထွေးသရ
V69	ေမ့်	အေမ့်	ILLUMINATED_BILABIAL_NASAL_EMPHASIS	EMPHATIC_ILLUMINATED_BILABIAL_NASAL	creaky	အားဖြင့်အလင်းသဘောပါ နှုတ်ခမ်းနှာခေါင်းသံ	ချေမ့်	ပေမ့်			ရှုပ်ထွေးသရ
V70	ေမ်း	အေမ်း	ILLUMINATED_BILABIAL_NASAL_EXTENSION	TERMINAL_ILLUMINATED_BILABIAL_NASAL	heavy	အဆုံးသတ်အလင်းသဘောပါ နှုတ်ခမ်းနှာခေါင်းသံ	ချေမ်း	ပေမ်း			ရှုပ်ထွေးသရ
V71	ို	အို	COMPOUND_ROUNDED_CONTRACTION	COMPOUND_ROUND_CLOSE	level	ရှုပ်ထွေးဝိုင်းဝန်းစုစည်းခြင်း	ကြို	ပျို	မြို		ရှုပ်ထွေးသရ
V72	ို့	အို့	COMPOUND_ROUNDED_EMPHASIS	EMPHATIC_COMPOUND_ROUND	creaky	အားဖြင့်ရှုပ်ထွေးဝိုင်းဝန်းခြင်း	ကြို့	ပျို့	မြို့		ရှုပ်ထွေးသရ
V73	ိုး	အိုး	COMPOUND_ROUNDED_EXTENSION	TERMINAL_COMPOUND_ROUND	heavy	အဆုံးသတ်ရှုပ်ထွေးဝိုင်းဝန်းခြင်း	ကြိုး	ပျိုး	မြိုး		ရှုပ်ထွေးသရ
